follower_count,followed_count,bio,bio_Length,Bio_emoji_Count,#_tags_in_bio,Count_Uploads,isPrivate,Username_len,DigitsInUsername,FullName_len,has_ProfilePicture,Count_Mutual,isVerified,Class
99,4458,[],0,0,0,6,0,9,4,0,1,0,0,1
393,6616,[],0,0,0,11,0,10,2,7,1,0,0,1
82,1183,[],0,0,0,5,0,13,2,11,1,0,0,1
118,550,[],1,0,0,22,0,7,1,8,1,0,0,1
97,7337,[],0,0,0,8,0,12,8,12,1,0,0,1
2146,2803,[],1,2,0,3,0,8,2,4,1,0,0,1
81,1378,[],0,0,0,10,0,11,0,0,1,0,0,1
81,1768,[],0,0,0,4,0,11,0,0,1,0,0,1
177,7438,[],0,0,0,5,0,9,0,9,1,0,0,1
1402,2900,"['مهم', 'نیس', 'پشت', 'سرمون', 'چی', 'میگن', 'مهم', 'این', 'ک', 'تو', 'رومون', 'جرعت', 'ندارن', 'حرف', 'بزننＳＯＭＥＴＩＭＥＳ', 'ＴＨＥ', 'ＢＥＳＴ', 'ＲＥＶＥＮＧＥ', 'ＩＳ', 'ＴＯ', 'ＳＭＩＬＥ', 'ＡＮＤ', 'ＭＯＶÈ', 'ØÑ']",25,17,0,3,0,12,4,20,1,0,0,1
84,3157,[],0,0,0,4,0,7,0,0,1,0,0,1
8,197,[],0,0,0,0,0,11,1,0,1,0,0,1
261,5782,[],0,0,0,11,0,7,1,6,1,0,0,1
83,5850,[],0,0,0,4,0,12,0,0,1,0,0,1
122,7051,[],0,0,0,5,0,8,6,8,1,0,0,1
84,705,[],0,0,0,29,0,6,2,0,1,0,0,1
1765,1130,"['کارهرکس', 'نیست', 'لاشی', 'شدنحرومزادگی', 'میخواهدو', 'زات', 'لجن']",8,2,0,1,0,16,3,6,1,0,0,1
410,1688,"['کاش', 'تو', 'تقؤئم', 'روز', 'نامرد', 'داشتیم', 'به', 'بعضیا', 'تبریک', 'میگفتیمm']",10,5,0,5,0,10,2,17,1,0,0,1
63,2766,[],0,0,0,22,0,10,4,0,1,0,0,1
105,3380,[],1,0,0,4,0,13,8,2,1,0,0,1
249,5279,[],0,0,0,4,0,11,2,11,1,0,0,1
1150,6911,"['مشاور', 'زيبايي', 'پوست', 'مو', 'ناخن', 'محصولات', 'تخصصي', 'ارايشي', 'بهداشتي', 'و', 'سلامتيامكان', 'ارسال', 'به', 'سراسر', 'كشورجهت', 'اطلاع', 'از', 'قيمت', 'دايركت']",23,1,0,241,0,14,0,22,1,0,0,1
72,1350,"['mitra', 'ya', 'hasan']",4,1,0,4,0,10,1,12,1,0,0,1
69,1968,[],0,0,0,4,0,11,8,11,1,0,0,1
54,470,[],0,0,0,23,0,10,4,0,1,0,0,1
114,7324,[],22,0,0,4,0,8,6,7,1,0,0,1
102,7211,[],0,0,0,4,0,12,0,8,1,0,0,1
4,182,[],1,0,0,1,0,9,4,5,1,0,0,1
663,1374,[],0,0,0,12,0,13,2,0,1,0,0,1
57,5840,[],11,0,0,5,1,12,0,10,1,0,0,1
107,3576,[],0,0,0,23,1,11,6,9,1,0,0,1
107,4357,[],0,0,0,8,0,8,3,0,1,0,0,1
1184,2387,[],0,0,0,12,0,10,2,0,1,0,0,1
2507,4500,[],25,0,0,0,0,9,2,13,1,0,0,1
66,5911,[],0,0,0,22,1,17,4,0,1,0,0,1
135,6785,[],22,0,0,4,0,8,6,6,1,0,0,1
116,6265,[],0,0,0,10,0,10,6,0,1,0,0,1
94,6071,[],0,0,0,23,0,10,2,8,1,0,0,1
184,2468,[],0,0,0,2,0,8,0,0,1,0,0,1
4556,2306,"['Hello', 'guys', 'welcome', 'to', 'my', 'page']",7,3,0,5,0,15,3,6,1,0,0,1
100,2894,[],8,0,0,24,0,9,2,0,1,0,0,1
87,1844,[],0,0,0,4,0,11,4,0,1,0,0,1
123,5706,[],0,0,0,19,1,8,4,0,1,0,0,1
78,1027,[],0,0,0,10,0,9,2,9,1,0,0,1
96,1788,[],0,0,0,24,0,9,3,5,1,0,0,1
95,6315,[],0,0,0,4,0,9,2,0,1,0,0,1
67,2110,[],0,0,0,22,0,12,5,0,1,0,0,1
422,662,[],1,0,0,1,0,16,0,6,1,0,0,1
183,3404,[],0,0,0,27,0,16,8,16,1,0,0,1
55,4375,[],0,0,0,22,0,12,0,0,1,0,0,1
3125,2400,"['گــالری', 'مـــاهاکسسوری', 'های', 'مو', 'و', 'شنیوندستبندگوشواره', 'و', 'هرچی', 'که', 'بخوایهم', 'تک', 'و', 'هم', 'عمدهسفارش', 'از', 'طریق', 'دایرکت']",25,13,0,51,1,13,0,13,1,0,0,1
57,232,[],0,0,0,4,0,10,4,0,1,0,0,1
520,7497,"['𝒚𝒐υ𝒓', 'ѕмι𝒍𝒆', '𝒄н𝒂𝒏𝒈𝒆ѕ', 'м𝒚', '𝒘𝒐𝒓𝒍𝒅']",6,5,0,4,0,11,0,7,1,0,0,1
9,599,[],5,0,0,3,0,15,0,10,1,0,0,1
61,1464,[],0,0,0,5,0,13,3,0,1,0,0,1
220,7459,[],0,0,0,23,0,10,2,8,1,0,0,1
69,1692,[],0,0,0,4,0,9,0,0,1,0,0,1
56,1299,[],0,0,0,5,0,9,4,0,1,0,0,1
590,1718,"['مشاور', 'پوست', 'و', 'مو']",5,1,0,0,0,11,0,9,1,0,0,1
188,7433,[],0,0,0,5,0,11,6,5,1,0,0,1
57,2864,[],0,0,0,22,0,14,3,13,1,0,0,1
296,2996,[],0,0,0,5,1,14,3,0,1,0,0,1
65,3248,[],0,0,0,22,0,10,2,10,1,0,0,1
56,755,[],0,0,0,6,0,12,6,0,1,0,0,1
95,917,[],0,0,0,6,0,9,3,0,1,0,0,1
97,1867,[],1,0,0,6,0,11,4,6,1,0,0,1
59,1699,[],0,0,0,5,0,10,4,0,1,0,0,1
2516,4138,"['هرجاهوا', 'مطابق', 'میلت', 'نبود', 'بروفرق', 'توبادرخت', 'همینپای', 'رفتن', 'است']",10,17,0,5,1,11,2,11,1,0,0,1
93,4794,[],4,0,0,4,0,7,1,6,1,0,0,1
107,4916,[],0,0,0,4,0,12,6,0,1,0,0,1
56,1063,[],0,0,0,4,0,11,4,0,1,0,0,1
122,2155,"['Pubg', 'MobileTEAMBLAKCEGame', 'play', 'scrim', 'tornoment']",8,4,3,0,0,13,2,0,1,0,0,1
46,233,[],0,0,0,4,0,17,0,4,1,0,0,1
112,7369,[],0,0,0,24,0,11,4,0,1,0,0,1
52,1001,[],1,1,0,4,1,11,4,7,1,0,0,1
81,5671,[],0,0,0,4,0,17,3,0,1,0,0,1
20542,7482,"['EGYPTFUCK', 'YOUR', 'OPINIONالفشيييخ', 'كووووميديhttpswwwfacebookcommahmoudcapo']",10,13,0,132,0,8,0,12,1,0,0,1
75,462,[],0,0,0,24,0,6,2,0,1,0,0,1
70,1858,[],0,0,0,25,0,15,0,0,1,0,0,1
76,3886,[],0,0,0,0,0,13,2,0,1,0,0,1
60,4814,[],0,0,0,4,1,12,2,6,1,0,0,1
89,4665,[],1,1,0,22,0,8,0,5,1,0,0,1
55,469,[],0,0,0,4,0,12,0,0,1,0,0,1
99,5277,[],0,0,0,6,0,13,8,7,1,0,0,1
85,4790,[],0,0,0,22,0,14,5,13,1,0,0,1
105,7493,"['realshadmehr', 'Tehran', 'No', 'rel', 'singelMuzic', 'my', 'world']",11,6,0,64,0,9,1,9,1,0,0,1
738,1202,"['پیج', 'دعانویسی', 'معجزه', 'دعا', 'انواع', 'دعانویسی', 'بختگشایی', 'برگشتمعشوق', 'رزقروزی', 'و', 'بهترین', 'اساتید', 'دعانویسی', 'با', 'بیش', 'از', '۱۰', 'سال', 'تجربهزیرنظر', 'پیجmojezedoaa']",23,3,3,34,0,12,1,27,1,0,0,1
